pathway	pancancer	ontology
histone modification	3	Biological Process
inositol trisphosphate metabolic process	3	Biological Process
intraciliary transport	3	Biological Process
negative regulation of transcription by RNA polymerase III	3	Biological Process
post-chaperonin tubulin folding pathway	3	Biological Process
RNA 3'-end processing	3	Biological Process
tubulin complex assembly	3	Biological Process
phytochelatin biosynthetic process	3	Biological Process
extrinsic component of membrane	3	Cellular Component
oligosaccharyltransferase complex	3	Cellular Component
photosystem II oxygen evolving complex	3	Cellular Component
proteasome core complex, beta-subunit complex	3	Cellular Component
WASH complex	3	Cellular Component
Golgi membrane	3	Cellular Component
MHC class II protein complex	3	Cellular Component
ER membrane protein complex	3	Cellular Component
ESCRT II complex	3	Cellular Component
proteasome activator complex	3	Cellular Component
CCR4-NOT complex	3	Cellular Component
Cdc73/Paf1 complex	3	Cellular Component
FANCM-MHF complex	3	Cellular Component
preribosome, small subunit precursor	3	Cellular Component
radial spoke	3	Cellular Component
6-deoxy-6-sulfofructose kinase activity	3	Molecular Function
acetylene hydratase activity	3	Molecular Function
cation channel activity	3	Molecular Function
inositol oxygenase activity	3	Molecular Function
phospholipid binding	3	Molecular Function
proton-exporting ATPase activity, phosphorylative mechanism	3	Molecular Function
Rho GTPase binding	3	Molecular Function
structural constituent of nuclear pore	3	Molecular Function
pyrimidine nucleotide-sugar transmembrane transporter activity	3	Molecular Function
creatinase activity	3	Molecular Function
GDP-mannose 6-dehydrogenase activity	3	Molecular Function
L-arabinose-importing ATPase activity	3	Molecular Function
squalene monooxygenase activity	3	Molecular Function
2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity	3	Molecular Function
2-oxopent-4-enoate hydratase activity	3	Molecular Function
3-(3-hydroxyphenyl)propionate hydroxylase activity	3	Molecular Function
ATPase-coupled maltose transmembrane transporter activity	3	Molecular Function
enzyme binding	3	Molecular Function
gamma-aminobutyric acid transmembrane transporter activity	3	Molecular Function
lysophospholipid:sodium symporter activity	3	Molecular Function
nitric oxide reductase activity	3	Molecular Function
purine nucleoside transmembrane transporter activity	3	Molecular Function
tRNA-specific ribonuclease activity	3	Molecular Function
uridine nucleosidase activity	3	Molecular Function
polynucleotide 5'-phosphatase activity	3	Molecular Function
protein phosphatase inhibitor activity	3	Molecular Function
ATPase-coupled intramembrane lipid transporter activity	3	Molecular Function
beta-tubulin binding	3	Molecular Function
dTDP-4-amino-4,6-dideoxygalactose transaminase activity	3	Molecular Function
hydrogensulfite reductase activity	3	Molecular Function
inositol tetrakisphosphate 1-kinase activity	3	Molecular Function
inositol-1,3,4-trisphosphate 5-kinase activity	3	Molecular Function
inositol-1,3,4-trisphosphate 6-kinase activity	3	Molecular Function
potassium:proton antiporter activity	3	Molecular Function
protein-containing complex binding	3	Molecular Function
tRNA (guanine-N2-)-methyltransferase activity	3	Molecular Function
glutathione gamma-glutamylcysteinyltransferase activity	3	Molecular Function
phosphate butyryltransferase activity	3	Molecular Function
tRNA methyltransferase activity	3	Molecular Function
Steroid biosynthesis	3	KEGG
Leucodelphinidin biosynthesis	3	Metacyc
UDP-alpha-D-glucuronate biosynthesis (from myo-inositol)	3	Metacyc
Methanol oxidation to formaldehyde III	3	Metacyc
Alginate biosynthesis I (algal)	3	Metacyc
Alginate biosynthesis II (bacterial)	3	Metacyc
Epoxysqualene biosynthesis	3	Metacyc
Indole-3-acetate biosynthesis III (bacteria)	3	Metacyc
(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	3	Metacyc
Arachidonate biosynthesis I (6-desaturase, lower eukaryotes)	3	Metacyc
Arachidonate biosynthesis III (6-desaturase, mammals)	3	Metacyc
Docosahexaenoate biosynthesis I (lower eukaryotes)	3	Metacyc
Docosahexaenoate biosynthesis IV (4-desaturase, mammals)	3	Metacyc
Icosapentaenoate biosynthesis I (lower eukaryotes)	3	Metacyc
Icosapentaenoate biosynthesis II (6-desaturase, mammals)	3	Metacyc
Advanced glycosylation endproduct receptor signaling	3	Reactome
Alpha-defensins	3	Reactome
Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)	3	Reactome
Defensins	3	Reactome
Estrogen-dependent nuclear events downstream of ESR-membrane signaling	3	Reactome
HuR (ELAVL1) binds and stabilizes mRNA	3	Reactome
Retrograde neurotrophin signalling	3	Reactome
Trafficking of GluR2-containing AMPA receptors	3	Reactome
FOXO-mediated transcription of cell death genes	3	Reactome
NOTCH3 Intracellular Domain Regulates Transcription	3	Reactome
NOTCH4 Intracellular Domain Regulates Transcription	3	Reactome
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	3	Reactome
RUNX3 regulates NOTCH signaling	3	Reactome
TGF-beta receptor signaling activates SMADs	3	Reactome
Toll Like Receptor 9 (TLR9) Cascade	3	Reactome
Striated Muscle Contraction	3	Reactome
fusion of virus membrane with host plasma membrane	2	Biological Process
lysine biosynthetic process via aminoadipic acid	2	Biological Process
pyrimidine ribonucleoside catabolic process	2	Biological Process
actin filament organization	2	Biological Process
auxin biosynthetic process	2	Biological Process
cellular response to amino acid stimulus	2	Biological Process
cholesterol homeostasis	2	Biological Process
DNA synthesis involved in DNA repair	2	Biological Process
endocytosis	2	Biological Process
endosomal transport	2	Biological Process
endosome transport via multivesicular body sorting pathway	2	Biological Process
fructose metabolic process	2	Biological Process
lysosome organization	2	Biological Process
mitochondrial genome maintenance	2	Biological Process
mitotic spindle assembly checkpoint	2	Biological Process
peptidyl-diphthamide biosynthetic process from peptidyl-histidine	2	Biological Process
phosphatidylcholine biosynthetic process	2	Biological Process
positive regulation of MAPK cascade	2	Biological Process
positive regulation of TOR signaling	2	Biological Process
protein import into mitochondrial matrix	2	Biological Process
protein N-linked glycosylation via asparagine	2	Biological Process
regulation of receptor recycling	2	Biological Process
response to drug	2	Biological Process
spindle assembly	2	Biological Process
'de novo' protein folding	2	Biological Process
chromatin remodeling	2	Biological Process
histone lysine methylation	2	Biological Process
plasma membrane fusion involved in cytogamy	2	Biological Process
rRNA (guanine-N7)-methylation	2	Biological Process
mitochondrial ADP transmembrane transport	2	Biological Process
mitochondrial ATP transmembrane transport	2	Biological Process
positive regulation of cell population proliferation	2	Biological Process
cholesterol biosynthetic process	2	Biological Process
malate transport	2	Biological Process
NADPH regeneration	2	Biological Process
positive regulation of single-species biofilm formation	2	Biological Process
D-allose catabolic process	2	Biological Process
propanediol catabolic process	2	Biological Process
propionate catabolic process	2	Biological Process
transformation of host cell by virus	2	Biological Process
attachment of GPI anchor to protein	2	Biological Process
activation of cysteine-type endopeptidase activity involved in apoptotic process	2	Biological Process
alpha-tubulin acetylation	2	Biological Process
apoptotic process	2	Biological Process
DNA-templated viral transcription	2	Biological Process
gamma-tubulin complex localization	2	Biological Process
guanosine pentaphosphate catabolic process	2	Biological Process
lipid homeostasis	2	Biological Process
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	Biological Process
mitotic sister chromatid cohesion	2	Biological Process
N-terminal protein myristoylation	2	Biological Process
negative regulation of Arp2/3 complex-mediated actin nucleation	2	Biological Process
protein homooligomerization	2	Biological Process
regulation of cilium movement	2	Biological Process
protein targeting to ER	2	Biological Process
ornithine catabolic process	2	Biological Process
response to pH	2	Biological Process
anaphase-promoting complex	2	Cellular Component
chloroplast	2	Cellular Component
clathrin coat of coated pit	2	Cellular Component
clathrin coat of trans-Golgi network vesicle	2	Cellular Component
delta DNA polymerase complex	2	Cellular Component
DNA replication factor C complex	2	Cellular Component
Elongator holoenzyme complex	2	Cellular Component
ERMES complex	2	Cellular Component
ESCRT I complex	2	Cellular Component
exon-exon junction complex	2	Cellular Component
HAUS complex	2	Cellular Component
integral component of peroxisomal membrane	2	Cellular Component
late endosome membrane	2	Cellular Component
MCM complex	2	Cellular Component
membrane raft	2	Cellular Component
MICOS complex	2	Cellular Component
mitochondrial chromosome	2	Cellular Component
mitochondrial matrix	2	Cellular Component
Ragulator complex	2	Cellular Component
ribonuclease P complex	2	Cellular Component
ubiquitin ligase complex	2	Cellular Component
cullin-RING ubiquitin ligase complex	2	Cellular Component
U6 snRNP	2	Cellular Component
keratin filament	2	Cellular Component
spore wall	2	Cellular Component
vesicle membrane	2	Cellular Component
voltage-gated potassium channel complex	2	Cellular Component
GPI-anchor transamidase complex	2	Cellular Component
mitochondrial outer membrane translocase complex	2	Cellular Component
Atg1/ULK1 kinase complex	2	Cellular Component
chaperonin-containing T-complex	2	Cellular Component
gamma-tubulin ring complex	2	Cellular Component
Golgi apparatus	2	Cellular Component
mRNA cleavage factor complex	2	Cellular Component
nuclear membrane	2	Cellular Component
ribonuclease H2 complex	2	Cellular Component
RNA polymerase II, core complex	2	Cellular Component
Slx1-Slx4 complex	2	Cellular Component
U1 snRNP	2	Cellular Component
U2AF complex	2	Cellular Component
mitochondrial inner membrane peptidase complex	2	Cellular Component
calcium- and calmodulin-responsive adenylate cyclase activity	2	Molecular Function
homocitrate synthase activity	2	Molecular Function
ribosylpyrimidine nucleosidase activity	2	Molecular Function
sulfoquinovose isomerase activity	2	Molecular Function
6-phosphofructo-2-kinase activity	2	Molecular Function
actin monomer binding	2	Molecular Function
aldehyde decarbonylase activity	2	Molecular Function
D-amino-acid oxidase activity	2	Molecular Function
diphthine synthase activity	2	Molecular Function
DNA clamp loader activity	2	Molecular Function
endodeoxyribonuclease activity, producing 3'-phosphomonoesters	2	Molecular Function
extracellular matrix binding	2	Molecular Function
formylmethanofuran dehydrogenase activity	2	Molecular Function
indolepyruvate decarboxylase activity	2	Molecular Function
lipid transporter activity	2	Molecular Function
long-chain-alcohol oxidase activity	2	Molecular Function
nuclear import signal receptor activity	2	Molecular Function
phosphatidate cytidylyltransferase activity	2	Molecular Function
selenium binding	2	Molecular Function
translation initiation factor binding	2	Molecular Function
tRNA-intron endonuclease activity	2	Molecular Function
ubiquitin-ubiquitin ligase activity	2	Molecular Function
chitin synthase activity	2	Molecular Function
rRNA (guanine) methyltransferase activity	2	Molecular Function
coenzyme F420 binding	2	Molecular Function
ice binding	2	Molecular Function
NADPH dehydrogenase activity	2	Molecular Function
pheromone receptor activity	2	Molecular Function
phosphomevalonate kinase activity	2	Molecular Function
stem cell factor receptor binding	2	Molecular Function
tumor necrosis factor receptor binding	2	Molecular Function
acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity	2	Molecular Function
carbohydrate kinase activity	2	Molecular Function
long-chain fatty acid [acyl-carrier-protein] ligase activity	2	Molecular Function
propionate kinase activity	2	Molecular Function
TBP-class protein binding	2	Molecular Function
Arp2/3 complex binding	2	Molecular Function
beta-catenin binding	2	Molecular Function
butane-1,4-diamine:2-oxoglutarate aminotransferase activity	2	Molecular Function
growth factor activity	2	Molecular Function
guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity	2	Molecular Function
Rho GDP-dissociation inhibitor activity	2	Molecular Function
RNA polymerase II activity	2	Molecular Function
tRNA (cytosine-5-)-methyltransferase activity	2	Molecular Function
tubulin N-acetyltransferase activity	2	Molecular Function
UDP-N-acetyl-D-mannosamine dehydrogenase activity	2	Molecular Function
shikimate kinase activity	2	Molecular Function
quinate 3-dehydrogenase (NAD+) activity	2	Molecular Function
quinate 3-dehydrogenase (NADP+) activity	2	Molecular Function
shikimate 3-dehydrogenase (NAD+) activity	2	Molecular Function
